Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		Run Id		
Device	DUT_6	Device	Jenner-D0	Device	Jenner-D1	Device	Jenner-D1	Device	Jenner-D2	Device	Jenner-D3	Device	Jenner-D4	Device	Jenner-D4	Device	Jenner-D5	Device	Jenner-D6	Device	Jenner-D7	Device	Calibrated	Device	Calibrated	Device	Calibrated	Device	Calibrated	Device	Calibrated	Device	Calibrated	Device	Calibrated	Device	Calibrated	Device	Calibrated	Device	Calibrated	
Curve	Illuminated IV1	Curve	Illuminated IV1	Curve	Illuminated IV1	Curve	Illuminated IV2	Curve	Illuminated IV1	Curve	Illuminated IV2	Curve	Illuminated IV1	Curve	Illuminated IV2	Curve	Illuminated IV1	Curve	Illuminated IV1	Curve	Illuminated IV1	Curve	Illuminated IV1	Curve	Illuminated IV2	Curve	Illuminated IV3	Curve	Illuminated IV4	Curve	Illuminated IV5	Curve	Illuminated IV6	Curve	Illuminated IV7	Curve	Illuminated IV8	Curve	Illuminated IV9	Curve	Illuminated IV10	
Size [cm2]	4	Size [cm2]	0.0572	Size [cm2]	0.0572	Size [cm2]	0.0572	Size [cm2]	0.0572	Size [cm2]	0.0572	Size [cm2]	0.0572	Size [cm2]	0.0572	Size [cm2]	0.0572	Size [cm2]	0.0572	Size [cm2]	0.0572	Size [cm2]	6.25	Size [cm2]	6.25	Size [cm2]	6.25	Size [cm2]	6.25	Size [cm2]	6.25	Size [cm2]	6.25	Size [cm2]	6.25	Size [cm2]	6.25	Size [cm2]	6.25	Size [cm2]	6.25	
Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	Temperature [C]	25	
Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	Material	None	
Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	Date	4/2/2018	
Time	6:16 PM	Time	6:21 PM	Time	6:22 PM	Time	6:23 PM	Time	6:23 PM	Time	6:25 PM	Time	6:27 PM	Time	6:28 PM	Time	6:29 PM	Time	6:30 PM	Time	6:30 PM	Time	6:39 PM	Time	6:41 PM	Time	6:41 PM	Time	6:42 PM	Time	6:45 PM	Time	6:47 PM	Time	6:52 PM	Time	6:52 PM	Time	6:53 PM	Time	6:54 PM	
Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	Temperature Corrected	no	
Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	Irradiance [W/m2]	992.730993737954	
Irradiance Corrected	no	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	Irradiance Corrected	yes	
