Repeat,VAR2,Point,Solar Cell Voltage,Solar Cell Current,Solar Cell Power
1,1,1,-400.00200E-003,-1.31952E-003,527.81064E-006
1,1,2,-395.32800E-003,-1.30650E-003,516.49603E-006
1,1,3,-390.63500E-003,-1.29753E-003,506.86063E-006
1,1,4,-385.94800E-003,-1.30033E-003,501.85976E-006
1,1,5,-381.26900E-003,-1.29611E-003,494.16656E-006
1,1,6,-376.59700E-003,-1.28058E-003,482.26259E-006
1,1,7,-371.90300E-003,-1.27870E-003,475.55237E-006
1,1,8,-367.21800E-003,-1.28091E-003,470.37321E-006
1,1,9,-362.54800E-003,-1.26646E-003,459.15254E-006
1,1,10,-357.85800E-003,-1.25703E-003,449.83824E-006
1,1,11,-353.17100E-003,-1.26098E-003,445.34157E-006
1,1,12,-348.48600E-003,-1.26071E-003,439.33979E-006
1,1,13,-343.81800E-003,-1.24273E-003,427.27294E-006
1,1,14,-339.13200E-003,-1.23266E-003,418.03445E-006
1,1,15,-334.44800E-003,-1.23460E-003,412.90950E-006
1,1,16,-329.77700E-003,-1.22890E-003,405.26296E-006
1,1,17,-325.08200E-003,-1.21391E-003,394.62029E-006
1,1,18,-320.39500E-003,-1.20709E-003,386.74560E-006
1,1,19,-315.71700E-003,-1.20621E-003,380.82100E-006
1,1,20,-311.04100E-003,-1.19711E-003,372.35029E-006
1,1,21,-306.35100E-003,-1.18715E-003,363.68459E-006
1,1,22,-301.66900E-003,-1.18193E-003,356.55164E-006
1,1,23,-296.98700E-003,-1.18094E-003,350.72383E-006
1,1,24,-292.31200E-003,-1.16967E-003,341.90858E-006
1,1,25,-287.62900E-003,-1.16441E-003,334.91808E-006
1,1,26,-282.93900E-003,-1.16375E-003,329.27026E-006
1,1,27,-278.26600E-003,-1.15593E-003,321.65602E-006
1,1,28,-273.58000E-003,-1.14800E-003,314.06984E-006
1,1,29,-268.89600E-003,-1.14354E-003,307.49333E-006
1,1,30,-264.20800E-003,-1.13827E-003,300.74004E-006
1,1,31,-259.53200E-003,-1.12508E-003,291.99426E-006
1,1,32,-254.85000E-003,-1.12018E-003,285.47787E-006
1,1,33,-250.17100E-003,-1.11874E-003,279.87630E-006
1,1,34,-245.48600E-003,-1.11118E-003,272.77913E-006
1,1,35,-240.79800E-003,-1.09969E-003,264.80315E-006
1,1,36,-236.11700E-003,-1.10023E-003,259.78301E-006
1,1,37,-231.44200E-003,-1.09761E-003,254.03305E-006
1,1,38,-226.76500E-003,-1.08404E-003,245.82233E-006
1,1,39,-222.06900E-003,-1.07708E-003,239.18608E-006
1,1,40,-217.38800E-003,-1.07659E-003,234.03775E-006
1,1,41,-212.71100E-003,-1.07342E-003,228.32824E-006
1,1,42,-208.02840E-003,-1.05543E-003,219.55941E-006
1,1,43,-203.34090E-003,-1.05066E-003,213.64215E-006
1,1,44,-198.65970E-003,-1.05132E-003,208.85492E-006
1,1,45,-193.98270E-003,-1.04240E-003,202.20757E-006
1,1,46,-189.29650E-003,-1.02506E-003,194.04027E-006
1,1,47,-184.61370E-003,-1.02337E-003,188.92812E-006
1,1,48,-179.93050E-003,-1.02417E-003,184.27942E-006
1,1,49,-175.25480E-003,-1.01077E-003,177.14229E-006
1,1,50,-170.56740E-003,-1.00474E-003,171.37589E-006
1,1,51,-165.88160E-003,-1.00739E-003,167.10747E-006
1,1,52,-161.20530E-003,-1.00730E-003,162.38210E-006
1,1,53,-156.52390E-003,-993.21000E-006,155.46110E-006
