Repeat,VAR2,Point,Solar Cell Voltage,Solar Cell Current,Solar Cell Power
1,1,1,-399.99900E-003,-965.42000E-006,386.16703E-006
1,1,2,-395.32200E-003,-963.36000E-006,380.83740E-006
1,1,3,-390.63900E-003,-961.59000E-006,375.63456E-006
1,1,4,-385.95100E-003,-963.01000E-006,371.67467E-006
1,1,5,-381.27100E-003,-957.12000E-006,364.92210E-006
1,1,6,-376.59300E-003,-951.60000E-006,358.36590E-006
1,1,7,-371.90900E-003,-955.08000E-006,355.20285E-006
1,1,8,-367.21600E-003,-955.67000E-006,350.93731E-006
1,1,9,-362.54200E-003,-952.10000E-006,345.17624E-006
1,1,10,-357.85800E-003,-947.71000E-006,339.14561E-006
1,1,11,-353.17900E-003,-948.25000E-006,334.90199E-006
1,1,12,-348.49000E-003,-951.18000E-006,331.47672E-006
1,1,13,-343.81100E-003,-949.48000E-006,326.44167E-006
1,1,14,-339.12800E-003,-948.77000E-006,321.75447E-006
1,1,15,-334.45400E-003,-945.07000E-006,316.08244E-006
1,1,16,-329.76600E-003,-949.85000E-006,313.22824E-006
1,1,17,-325.08100E-003,-948.91000E-006,308.47261E-006
1,1,18,-320.40700E-003,-944.66000E-006,302.67568E-006
1,1,19,-315.71600E-003,-941.25000E-006,297.16769E-006
1,1,20,-311.03700E-003,-946.24000E-006,294.31565E-006
1,1,21,-306.35100E-003,-948.63000E-006,290.61375E-006
1,1,22,-301.67300E-003,-944.85000E-006,285.03573E-006
1,1,23,-296.98900E-003,-943.23000E-006,280.12893E-006
1,1,24,-292.30900E-003,-942.46000E-006,275.48954E-006
1,1,25,-287.63100E-003,-943.52000E-006,271.38560E-006
1,1,26,-282.93900E-003,-936.24000E-006,264.89881E-006
1,1,27,-278.26200E-003,-935.09000E-006,260.20001E-006
1,1,28,-273.58100E-003,-935.44000E-006,255.91861E-006
1,1,29,-268.90200E-003,-934.86000E-006,251.38572E-006
1,1,30,-264.20800E-003,-930.62000E-006,245.87725E-006
1,1,31,-259.53000E-003,-928.58000E-006,240.99437E-006
1,1,32,-254.84800E-003,-930.91000E-006,237.24055E-006
1,1,33,-250.17300E-003,-926.30000E-006,231.73525E-006
1,1,34,-245.48100E-003,-924.48000E-006,226.94227E-006
1,1,35,-240.79700E-003,-919.98000E-006,221.52842E-006
1,1,36,-236.12200E-003,-922.10000E-006,217.72810E-006
1,1,37,-231.44300E-003,-919.76000E-006,212.87201E-006
1,1,38,-226.76300E-003,-918.74000E-006,208.33624E-006
1,1,39,-222.06700E-003,-917.50000E-006,203.74647E-006
1,1,40,-217.39400E-003,-914.86000E-006,198.88507E-006
1,1,41,-212.70800E-003,-914.32000E-006,194.48318E-006
1,1,42,-208.02840E-003,-910.37000E-006,189.38281E-006
1,1,43,-203.34530E-003,-909.60000E-006,184.96288E-006
1,1,44,-198.66030E-003,-907.37000E-006,180.25840E-006
1,1,45,-193.98030E-003,-907.41000E-006,176.01966E-006
1,1,46,-189.29560E-003,-903.89000E-006,171.10240E-006
1,1,47,-184.61950E-003,-900.55000E-006,166.25909E-006
1,1,48,-179.93260E-003,-900.34000E-006,162.00052E-006
1,1,49,-175.25530E-003,-900.59000E-006,157.83317E-006
1,1,50,-170.56800E-003,-899.31000E-006,153.39351E-006
1,1,51,-165.88730E-003,-893.79000E-006,148.26841E-006
1,1,52,-161.20440E-003,-894.91100E-006,144.26359E-006
1,1,53,-156.52060E-003,-892.06200E-006,139.62608E-006
1,1,54,-151.83860E-003,-883.69200E-006,134.17856E-006
1,1,55,-147.15440E-003,-885.88800E-006,130.36232E-006
1,1,56,-142.47350E-003,-887.43100E-006,126.43540E-006
1,1,57,-137.79290E-003,-887.24300E-006,122.25579E-006
1,1,58,-133.11130E-003,-879.86100E-006,117.11944E-006
1,1,59,-128.42730E-003,-880.25300E-006,113.04852E-006
1,1,60,-123.74510E-003,-880.53100E-006,108.96140E-006
1,1,61,-119.06430E-003,-874.18300E-006,104.08399E-006
1,1,62,-114.38180E-003,-870.39000E-006,99.55677E-006
1,1,63,-109.69970E-003,-869.75300E-006,95.41164E-006
1,1,64,-105.01600E-003,-872.05900E-006,91.58015E-006
1,1,65,-100.33670E-003,-864.40500E-006,86.73155E-006
1,1,66,-95.65180E-003,-861.17100E-006,82.37256E-006
1,1,67,-90.96780E-003,-860.12400E-006,78.24359E-006
1,1,68,-86.29280E-003,-859.77100E-006,74.19205E-006
1,1,69,-81.60560E-003,-855.12300E-006,69.78283E-006
1,1,70,-76.92200E-003,-851.48100E-006,65.49762E-006
1,1,71,-72.23570E-003,-851.66700E-006,61.52076E-006
1,1,72,-67.55950E-003,-849.43500E-006,57.38740E-006
