Repeat,VAR2,Point,Solar Cell Voltage,Solar Cell Current,Solar Cell Power
1,1,1,-399.99500E-003,-800.58300E-006,320.22920E-006
1,1,2,-395.31600E-003,-804.02200E-006,317.84276E-006
1,1,3,-390.63800E-003,-805.37500E-006,314.61008E-006
1,1,4,-385.95300E-003,-799.63600E-006,308.62191E-006
1,1,5,-381.26800E-003,-799.10000E-006,304.67126E-006
1,1,6,-376.58800E-003,-802.12700E-006,302.07140E-006
1,1,7,-371.91500E-003,-800.29700E-006,297.64246E-006
1,1,8,-367.22100E-003,-797.35000E-006,292.80366E-006
1,1,9,-362.53800E-003,-797.46700E-006,289.11209E-006
1,1,10,-357.86100E-003,-799.70900E-006,286.18466E-006
1,1,11,-353.18200E-003,-793.36100E-006,280.20082E-006
1,1,12,-348.48800E-003,-791.48500E-006,275.82302E-006
1,1,13,-343.80600E-003,-790.25300E-006,271.69372E-006
1,1,14,-339.13000E-003,-792.16300E-006,268.64624E-006
1,1,15,-334.45400E-003,-788.17400E-006,263.60795E-006
1,1,16,-329.77200E-003,-784.75800E-006,258.79122E-006
1,1,17,-325.07700E-003,-784.15800E-006,254.91173E-006
1,1,18,-320.40100E-003,-782.74000E-006,250.79068E-006
1,1,19,-315.72100E-003,-780.34000E-006,246.36973E-006
1,1,20,-311.04000E-003,-777.60800E-006,241.86719E-006
1,1,21,-306.34800E-003,-777.95400E-006,238.32465E-006
1,1,22,-301.66800E-003,-774.13800E-006,233.53266E-006
1,1,23,-296.99000E-003,-774.00200E-006,229.87085E-006
1,1,24,-292.30900E-003,-771.72400E-006,225.58187E-006
1,1,25,-287.63200E-003,-769.18700E-006,221.24280E-006
1,1,26,-282.93800E-003,-768.02300E-006,217.30289E-006
1,1,27,-278.26100E-003,-766.81300E-006,213.37415E-006
1,1,28,-273.57600E-003,-765.47300E-006,209.41504E-006
1,1,29,-268.89800E-003,-762.73300E-006,205.09738E-006
1,1,30,-264.21300E-003,-763.58500E-006,201.74908E-006
1,1,31,-259.53000E-003,-761.04300E-006,197.51349E-006
1,1,32,-254.85200E-003,-759.07300E-006,193.45127E-006
1,1,33,-250.17000E-003,-753.96700E-006,188.61992E-006
1,1,34,-245.48000E-003,-755.26000E-006,185.40122E-006
1,1,35,-240.79900E-003,-754.25400E-006,181.62361E-006
1,1,36,-236.12300E-003,-750.90500E-006,177.30594E-006
1,1,37,-231.43900E-003,-748.43600E-006,173.21728E-006
1,1,38,-226.76100E-003,-749.96500E-006,170.06281E-006
1,1,39,-222.06800E-003,-749.37000E-006,166.41110E-006
1,1,40,-217.39300E-003,-742.28400E-006,161.36735E-006
1,1,41,-212.71000E-003,-742.72300E-006,157.98461E-006
1,1,42,-208.02550E-003,-743.39400E-006,154.64491E-006
1,1,43,-203.34560E-003,-741.87200E-006,150.85641E-006
1,1,44,-198.66310E-003,-733.62300E-006,145.74382E-006
1,1,45,-193.97890E-003,-731.84600E-006,141.96268E-006
1,1,46,-189.29540E-003,-733.28000E-006,138.80653E-006
1,1,47,-184.61630E-003,-730.16500E-006,134.80036E-006
1,1,48,-179.93380E-003,-725.59700E-006,130.55943E-006
1,1,49,-175.24950E-003,-723.59400E-006,126.80949E-006
1,1,50,-170.56850E-003,-724.76900E-006,123.62276E-006
