Repeat,VAR2,Point,Solar Cell Voltage,Solar Cell Current,Solar Cell Power
1,1,1,-399.99700E-003,-622.05700E-006,248.82093E-006
1,1,2,-395.32000E-003,-624.80500E-006,246.99791E-006
1,1,3,-390.64200E-003,-625.45000E-006,244.32704E-006
1,1,4,-385.95300E-003,-618.76700E-006,238.81498E-006
1,1,5,-381.26900E-003,-618.29400E-006,235.73634E-006
1,1,6,-376.58900E-003,-621.68400E-006,234.11936E-006
1,1,7,-371.91300E-003,-626.55300E-006,233.02321E-006
1,1,8,-367.21800E-003,-626.41200E-006,230.02976E-006
1,1,9,-362.54000E-003,-627.66900E-006,227.55512E-006
1,1,10,-357.86500E-003,-619.11900E-006,221.56102E-006
1,1,11,-353.15300E-003,-601.08200E-006,212.27391E-006
1,1,12,-348.49300E-003,-615.82200E-006,214.60966E-006
1,1,13,-343.81200E-003,-613.19800E-006,210.82483E-006
1,1,14,-339.12800E-003,-623.98700E-006,211.61146E-006
1,1,15,-334.45000E-003,-624.68200E-006,208.92489E-006
1,1,16,-329.77100E-003,-625.97400E-006,206.42807E-006
1,1,17,-325.07500E-003,-628.01000E-006,204.15035E-006
1,1,18,-320.39500E-003,-632.83000E-006,202.75557E-006
1,1,19,-315.71600E-003,-637.19100E-006,201.17139E-006
1,1,20,-311.03800E-003,-635.81800E-006,197.76356E-006
1,1,21,-306.35100E-003,-637.58900E-006,195.32603E-006
1,1,22,-301.67100E-003,-636.35000E-006,191.96834E-006
1,1,23,-296.99100E-003,-637.80600E-006,189.42264E-006
1,1,24,-292.31100E-003,-635.26700E-006,185.69553E-006
1,1,25,-287.63100E-003,-635.04800E-006,182.65949E-006
1,1,26,-282.94000E-003,-634.28000E-006,179.46318E-006
1,1,27,-278.26600E-003,-632.66500E-006,176.04916E-006
1,1,28,-273.58300E-003,-628.33000E-006,171.90041E-006
1,1,29,-268.89700E-003,-624.25000E-006,167.85895E-006
1,1,30,-264.21100E-003,-625.17600E-006,165.17838E-006
1,1,31,-259.53200E-003,-622.77600E-006,161.63030E-006
1,1,32,-254.85100E-003,-620.89700E-006,158.23622E-006
1,1,33,-250.16900E-003,-618.13500E-006,154.63821E-006
1,1,34,-245.47800E-003,-622.34900E-006,152.77299E-006
1,1,35,-240.79700E-003,-623.46100E-006,150.12754E-006
1,1,36,-236.12200E-003,-622.63900E-006,147.01877E-006
1,1,37,-231.43900E-003,-621.32200E-006,143.79814E-006
1,1,38,-226.75900E-003,-623.77400E-006,141.44637E-006
1,1,39,-222.07200E-003,-622.29500E-006,138.19430E-006
1,1,40,-217.39300E-003,-615.28600E-006,133.75887E-006
1,1,41,-212.70800E-003,-614.51000E-006,130.71119E-006
1,1,42,-208.02570E-003,-616.19700E-006,128.18481E-006
1,1,43,-203.34690E-003,-617.12000E-006,125.48944E-006
1,1,44,-198.66350E-003,-609.23000E-006,121.03176E-006
1,1,45,-193.97780E-003,-608.34700E-006,118.00581E-006
1,1,46,-189.29520E-003,-610.93700E-006,115.64744E-006
1,1,47,-184.61350E-003,-608.85600E-006,112.40304E-006
1,1,48,-179.93280E-003,-605.80400E-006,109.00401E-006
1,1,49,-175.25040E-003,-604.47700E-006,105.93484E-006
1,1,50,-170.56420E-003,-608.45400E-006,103.78047E-006
1,1,51,-165.88860E-003,-606.15600E-006,100.55437E-006
1,1,52,-161.20570E-003,-604.20900E-006,97.40193E-006
1,1,53,-156.51990E-003,-602.13900E-006,94.24674E-006
1,1,54,-151.84090E-003,-603.74300E-006,91.67288E-006
1,1,55,-147.16200E-003,-602.24300E-006,88.62728E-006
1,1,56,-142.47400E-003,-600.79100E-006,85.59710E-006
1,1,57,-137.79100E-003,-598.56400E-006,82.47673E-006
1,1,58,-133.10640E-003,-598.54100E-006,79.66964E-006
1,1,59,-128.43000E-003,-600.57000E-006,77.13121E-006
1,1,60,-123.74670E-003,-596.66600E-006,73.83545E-006
1,1,61,-119.06640E-003,-593.55900E-006,70.67293E-006
1,1,62,-114.37820E-003,-590.68600E-006,67.56160E-006
1,1,63,-109.69760E-003,-593.87900E-006,65.14710E-006
1,1,64,-105.01790E-003,-593.17200E-006,62.29368E-006
1,1,65,-100.33410E-003,-590.55700E-006,59.25301E-006
1,1,66,-95.65050E-003,-590.28000E-006,56.46058E-006
1,1,67,-90.97030E-003,-591.16600E-006,53.77855E-006
1,1,68,-86.28840E-003,-588.94800E-006,50.81938E-006
1,1,69,-81.60570E-003,-581.52200E-006,47.45551E-006
1,1,70,-76.92040E-003,-583.59800E-006,44.89059E-006
1,1,71,-72.24120E-003,-585.16200E-006,42.27281E-006
1,1,72,-67.55740E-003,-585.02300E-006,39.52263E-006
